index,id,name,viz_group,Size,HP,logHP,AtkDelay,AtkRange,MinAttack,MaxAttack,BaseExpPerHP,JobExpPerHP,DelayAfterHit,PropertyName,PropertyLevel,SightRange,SpellRange,WalkSpeed,Agi,Def,Dex,Earth,Fire,Flee(95%),Ghost,Hit(100%),Holy,Int,Level,Luk,Neutral,Poison,Race,Shadow,Str,Undead,Vit,Water,Wind,img_width,img_height,img_url
307,1113,Drops,Drops,Medium,55,4.007333367050636,1.37,1,10,13,0.073,0.055,Short,Fire,1,12,10.0,Very Slow,3,0,12,50,25,90,100,26,100,0,3,15,100,125,Plant,100,1,100,3,150,100,41,39,./images/mobs/Drops.gif
308,1572,Drops,Drops,Medium,55,4.007333367050636,1.37,1,10,13,0.0,0.0,Short,Fire,1,12,10.0,Very Slow,3,0,12,50,25,90,100,26,100,0,3,15,100,125,Plant,100,1,100,3,150,100,41,39,./images/mobs/Drops.gif
0,1113,Drops,Drops,Medium,45,3.806662711992517,1.37,1,12,13,0.6,0.444,Short,Fire,1,12,10.0,Very Slow,1,16,6,90,25,178,100,203,100,0,2,2,100,125,Plant,100,8,100,1,150,100,41,39,./images/mobs/Drops.gif
1,1572,Drops,Drops,Medium,45,3.806662711992517,1.37,1,12,13,0.0,0.0,Short,Fire,1,12,10.0,Very Slow,1,16,6,90,25,178,100,203,100,0,2,2,100,125,Plant,100,8,100,1,150,100,41,39,./images/mobs/Drops.gif
412,1120,Ghostring,Others,Medium,73300,11.202315888011167,1.22,1,82,122,0.0,0.0,Average,Ghost,4,12,10.0,Slow,27,0,72,100,100,165,200,65,100,45,18,30,0,25,Demon,100,40,100,18,100,100,40,47,./images/mobs/Ghostring.gif
413,1576,Ghostring,Others,Medium,73300,11.202315888011167,1.22,1,82,122,0.0,0.0,Average,Ghost,4,12,10.0,Slow,27,0,72,100,100,165,200,65,100,45,18,30,0,25,Demon,100,40,100,18,100,100,40,47,./images/mobs/Ghostring.gif
14,1120,Ghostring,Others,Medium,26700,10.192418844762873,1.22,1,350,512,0.16,0.16699999999999998,Average,Ghost,4,12,10.0,Slow,85,88,99,100,100,381,200,388,100,66,90,66,0,25,Demon,100,66,100,66,100,100,40,47,./images/mobs/Ghostring.gif
15,1576,Ghostring,Others,Medium,26700,10.192418844762873,1.22,1,350,512,0.0,0.0,Average,Ghost,4,12,10.0,Slow,85,88,99,100,100,381,200,388,100,66,90,66,0,25,Demon,100,66,100,66,100,100,40,47,./images/mobs/Ghostring.gif
16,2936,Ghostring,Others,Small,10,2.3025860929935456,,1,1,2,0.0,0.0,Average,Neutral,1,12,7.0,Slow,0,100,0,100,100,171,70,201,100,0,1,0,100,100,Plant,100,0,100,0,100,100,40,47,./images/mobs/Ghostring.gif
498,1977,Heavy Metaling,Metaling,Small,28433,10.25530572176522,0.67,1,1350,1700,0.328,0.3,Short,Neutral,1,12,10.0,Slow,65,40,77,100,100,225,25,158,100,40,73,2,100,100,Formless,100,30,100,28,100,100,81,64,./images/mobs/Heavy Metaling.gif
4,1977,Heavy Metaling,Metaling,Small,11500,9.350102315220909,0.67,1,672,784,0.227,0.172,Short,Neutral,1,12,10.0,Slow,63,134,56,100,100,345,70,377,100,58,107,38,100,100,Formless,100,105,100,86,100,100,81,64,./images/mobs/Heavy Metaling.gif
548,2316,Jejeling,Others,Large,10247,9.234740259775613,1.33,1,450,1165,0.078,0.07200000000000001,Short,Earth,2,12,10.0,Very Slow,71,100,15,50,175,190,75,191,100,54,100,104,100,125,Plant,100,51,75,84,100,25,52,47,./images/mobs/Jejeling.gif
647,1836,Magmaring,Magmaring,Small,5300,8.575462101427004,1.47,1,550,700,0.398,0.36,Very Short,Fire,2,12,10.0,Slow,60,25,60,25,0,175,75,120,100,10,40,17,100,125,Formless,100,40,75,30,175,100,65,65,./images/mobs/Magmaring.gif
5,1836,Magmaring,Magmaring,Small,13079,9.478763170253735,1.47,1,678,722,0.194,0.146,Very Short,Fire,2,12,10.0,Slow,33,100,61,80,0,347,75,347,100,47,110,20,100,125,Formless,100,107,75,35,175,100,65,65,./images/mobs/Magmaring.gif
663,1595,Marin,Marin,Medium,742,6.609349256644468,1.87,1,39,43,0.0,0.0,Short,Water,2,12,10.0,Very Slow,10,0,35,100,25,125,75,45,100,5,15,15,100,75,Plant,100,1,75,10,0,175,41,39,./images/mobs/Marin.gif
664,1242,Marin,Marin,Medium,742,6.609349256644468,1.87,1,39,43,0.08900000000000001,0.059,Short,Water,2,12,10.0,Very Slow,10,0,35,100,25,125,75,45,100,5,15,15,100,75,Plant,100,1,75,10,0,175,41,39,./images/mobs/Marin.gif
675,1857,Marin,Marin,Medium,742,6.609349256644468,1.87,1,39,43,0.08900000000000001,0.059,Short,Water,2,12,10.0,Very Slow,10,0,35,100,25,125,75,45,100,5,15,15,100,75,Plant,100,1,75,10,0,175,41,39,./images/mobs/Marin.gif
8,1857,Marin,Marin,Medium,742,6.609349256644468,1.87,1,39,43,0.08,0.054000000000000006,Short,Water,2,12,10.0,Very Slow,10,0,35,100,80,225,75,228,100,5,15,15,100,75,Plant,100,1,75,10,0,175,41,39,./images/mobs/Marin.gif
10,1595,Marin,Marin,Medium,987,6.8946700495651925,1.87,1,69,83,0.0,0.0,Short,Water,2,12,10.0,Very Slow,5,32,30,100,80,242,75,245,100,5,37,15,100,75,Plant,100,24,75,10,0,175,41,39,./images/mobs/Marin.gif
12,1242,Marin,Marin,Medium,987,6.8946700495651925,1.87,1,69,83,0.28600000000000003,0.32,Short,Water,2,12,10.0,Very Slow,5,32,30,100,80,242,75,245,100,5,37,15,100,75,Plant,100,24,75,10,0,175,41,39,./images/mobs/Marin.gif
686,1090,Mastering,Others,Medium,2415,7.78945457022746,1.07,1,18,24,0.012,0.004,Short,Water,1,12,10.0,Slow,2,0,17,100,50,94,100,24,100,0,2,60,100,100,Plant,100,1,100,2,25,175,100,96,./images/mobs/Mastering.gif
691,1613,Metaling,Metaling,Small,889,6.790097246762499,0.67,1,135,270,0.5529999999999999,0.28,Short,Neutral,1,12,10.0,Slow,15,5,35,100,100,136,25,61,100,18,26,2,100,100,Formless,100,30,100,10,100,100,47,45,./images/mobs/Metaling.gif
6,1613,Metaling,Metaling,Small,4300,8.366370304007235,0.67,1,171,210,0.222,0.25,Short,Neutral,1,12,10.0,Slow,30,69,50,100,100,302,70,312,100,17,81,5,100,100,Formless,100,58,100,49,100,100,47,45,./images/mobs/Metaling.gif
7,2931,Metaling,Metaling,Small,4300,8.366370304007235,0.67,1,188,39,0.122,0.125,Short,Neutral,1,12,10.0,Slow,30,69,60,100,100,312,70,312,100,17,81,5,100,100,Formless,100,58,100,49,100,100,47,45,./images/mobs/Metaling.gif
845,1973,Poring,Poring,Medium,50,3.912023205428127,,1,7,10,0.04,0.02,Short,Water,1,12,10.0,Very Slow,1,0,6,100,50,82,100,22,100,0,1,30,100,100,Plant,100,1,100,1,25,175,41,39,./images/mobs/Poring.gif
846,1002,Poring,Poring,Medium,50,3.912023205428127,1.87,1,7,10,0.04,0.02,Short,Water,1,12,10.0,Very Slow,1,0,6,100,50,82,100,22,100,0,1,30,100,100,Plant,100,1,100,1,25,175,41,39,./images/mobs/Poring.gif
847,1847,Poring,Poring,Medium,10000000,16.11809565095932,0.67,1,15000,20000,0.0,0.0,Short,Ghost,1,12,10.0,Very Fast,60,60,160,100,100,333,125,178,100,120,98,30,25,100,Angel,100,1,100,120,100,100,41,39,./images/mobs/Poring.gif
869,1725,Poring,Poring,Medium,50,3.912023205428127,1.87,1,7,10,0.0,0.0,Short,Water,1,12,10.0,Fast,1,0,6,100,50,82,100,22,100,0,1,30,100,100,Plant,100,1,100,1,25,175,41,39,./images/mobs/Poring.gif
5,1002,Poring,Poring,Medium,60,4.094344728888753,1.87,1,8,9,0.45,0.333,Short,Water,1,12,10.0,Very Slow,1,2,6,100,90,178,100,203,100,0,1,5,100,100,Plant,100,6,100,1,25,175,41,39,./images/mobs/Poring.gif
6,1847,Poring,Poring,Medium,10000500,16.118145649709362,0.67,1,15000,20000,0.09,0.09,Short,Ghost,1,12,10.0,Very Fast,60,96,160,100,100,438,125,364,100,120,98,30,70,100,Angel,100,1,100,120,100,100,41,39,./images/mobs/Poring.gif
7,1725,Poring,Poring,Medium,50,3.912023205428127,1.87,1,7,10,0.0,0.0,Short,Water,1,12,10.0,Fast,1,0,6,100,90,187,100,208,100,0,1,30,100,100,Plant,100,1,100,1,25,175,41,39,./images/mobs/Poring.gif
8,1973,Poring,Poring,Medium,50,3.912023205428127,,1,7,10,0.04,0.02,Short,Water,1,12,10.0,Very Slow,1,0,6,100,90,187,100,208,100,0,1,30,100,100,Plant,100,1,100,1,25,175,41,39,./images/mobs/Poring.gif
20,2401,Poring,Poring,Medium,60,4.094344728888753,1.87,1,8,9,0.0,0.0,Average,Water,1,12,10.0,Very Slow,1,2,6,100,90,178,100,203,100,0,1,5,100,100,Plant,100,6,100,1,25,175,41,39,./images/mobs/Poring.gif
849,1894,Pouring,Others,Small,100000,11.512925465070227,1.67,1,550,1450,0.0,0.0,Short,Ghost,3,0,,Slow,30,20,85,100,100,210,175,100,100,55,50,30,0,50,Plant,100,45,100,36,100,100,47,46,./images/mobs/Pouring.gif
865,1031,Poporing,Poporing,Medium,344,5.840641686443165,1.67,1,59,72,0.235,0.128,Short,Poison,1,12,10.0,Slow,14,0,19,100,100,108,100,48,100,0,14,15,100,0,Plant,50,1,50,14,100,100,41,39,./images/mobs/Poporing.gif
2,1031,Poporing,Poporing,Medium,524,6.261491703405013,1.67,1,74,94,0.378,0.4270000000000001,Short,Poison,1,12,10.0,Slow,26,36,36,100,100,237,100,257,100,18,30,5,100,0,Plant,50,17,50,20,100,100,41,39,./images/mobs/Poporing.gif
16,2932,Poporing,Poporing,Medium,524,6.261491703405013,1.67,1,74,20,0.189,0.214,Short,Poison,1,12,10.0,Slow,26,36,36,100,100,237,100,257,100,18,30,5,100,0,Plant,50,17,50,20,100,100,41,39,./images/mobs/Poporing.gif
868,1502,Pori Pori / Bring it,Others,Medium,95000000,18.369387449564922,1.67,1,10000,30000,0.0,0.0,Short,Poison,1,12,10.0,Fast,100,0,255,100,100,429,100,219,100,100,99,255,100,0,Plant,50,100,50,65,100,100,41,39,./images/mobs/Pori Pori - Bring it.gif
4,1502,Pori Pori / Bring it,Others,Medium,95000000,18.369387449564922,1.67,1,5000,10000,0.0,0.0,Short,Poison,1,12,10.0,Fast,100,0,255,100,100,609,100,450,100,100,99,255,100,0,Plant,50,100,50,65,100,100,41,39,./images/mobs/Pori Pori - Bring it.gif
913,1062,Santa Poring,Poring,Medium,69,4.234106649524786,1.67,1,12,16,0.058,0.07200000000000001,Short,Holy,1,12,10.0,Very Slow,14,0,12,75,75,90,75,37,0,10,3,90,100,75,Plant,125,1,100,3,75,75,41,46,./images/mobs/Santa Poring.gif
10,1062,Santa Poring,Poring,Medium,69,4.234106649524786,1.67,1,12,16,0.058,0.07200000000000001,Short,Holy,1,12,10.0,Very Slow,14,0,12,75,75,215,75,235,0,10,3,90,100,75,Plant,125,1,100,3,75,75,41,46,./images/mobs/Santa Poring.gif
976,2199,Siorava,Others,Small,6500,8.779557457422191,1.54,1,450,660,0.092,0.092,Average,Water,1,12,10.0,Slow,40,20,67,100,50,229,100,147,100,70,87,10,100,100,Formless,100,10,100,66,25,175,61,35,./images/mobs/Siorava.gif
3,2776,Baby Poring Ringleader,Poring,Small,200,5.298317416548035,1.87,1,14,17,0.45,0.75,Short,Water,1,12,10.0,Very Slow,1,2,6,100,90,178,100,203,100,0,1,5,100,100,Plant,100,6,100,1,25,175,32,30,./images/mobs/Baby Poring Ringleader.gif
9,2703,Elusive Poporing,Poporing,Medium,2620,7.870929600571936,1.67,1,117,152,0.189,0.64,Short,Poison,1,12,10.0,Slow,26,36,36,100,100,237,100,257,100,18,30,5,100,0,Plant,50,17,50,20,100,100,49,47,./images/mobs/Elusive Poporing.gif
11,2698,Elusive Poring,Poring,Medium,300,5.7037825079895335,1.87,1,14,17,0.3,0.5,Short,Water,1,12,10.0,Very Slow,1,2,6,100,90,178,100,203,100,0,1,5,100,100,Plant,100,6,100,1,25,175,49,47,./images/mobs/Elusive Poring.gif
12,2702,Furious Poporing,Poporing,Medium,2620,7.870929600571936,1.67,1,117,152,0.189,0.64,Short,Poison,1,12,10.0,Slow,33,36,36,100,100,237,100,264,100,18,30,5,100,0,Plant,50,17,50,20,100,100,49,47,./images/mobs/Furious Poporing.gif
13,2697,Furious Poring,Poring,Medium,300,5.7037825079895335,1.87,1,13,16,0.3,0.5,Short,Water,1,12,10.0,Very Slow,1,2,6,100,90,178,100,203,100,0,1,5,100,100,Plant,100,6,100,1,25,175,49,47,./images/mobs/Furious Poring.gif
14,2248,Golden Poring,Poring,Medium,15,2.7080508677686543,1.87,0,0,0,0.0,0.0,Short,Water,1,12,10.0,Very Slow,1,160,255,100,90,426,100,202,100,1,1,1,100,100,Plant,100,1,100,1,25,175,65,66,./images/mobs/Golden Poring.gif
15,2398,Little Poring,Poring,Small,40,3.688879704113905,1.87,1,8,9,0.45,0.25,Short,Water,1,12,10.0,Very Slow,1,2,6,100,90,178,100,203,100,0,1,5,100,100,Plant,100,6,100,1,25,175,27,25,./images/mobs/Little Poring.gif
17,2701,Poporing Ringleader,Poporing,Medium,2620,7.870929600571936,1.67,1,117,152,0.189,0.64,Short,Poison,1,12,10.0,Slow,26,36,36,100,100,237,100,257,100,18,30,5,100,0,Plant,50,17,50,20,100,100,49,47,./images/mobs/Poporing Ringleader.gif
18,2403,Immune Poporing,Poporing,Medium,524,6.261491703405013,,1,74,20,0.189,0.214,Short,Poison,1,12,10.0,Slow,26,36,36,100,100,237,100,257,100,18,30,5,100,0,Plant,50,17,50,20,100,100,41,39,./images/mobs/Immune Poporing.gif
19,2402,Immune Poporing,Poporing,Medium,524,6.261491703405013,,1,74,20,0.189,0.214,Short,Poison,1,12,10.0,Slow,26,36,36,100,100,237,100,257,100,18,30,5,100,0,Plant,50,17,50,20,100,100,41,39,./images/mobs/Immune Poporing.gif
21,2696,Poring Ringleader,Poring,Medium,300,5.7037825079895335,1.87,1,14,17,0.3,0.5,Short,Water,1,12,10.0,Very Slow,1,2,6,100,90,178,100,203,100,0,1,5,100,100,Plant,100,6,100,1,25,175,49,47,./images/mobs/Poring Ringleader.gif
22,2699,Swift Poring,Poring,Medium,300,5.7037825079895335,1.87,1,14,17,0.3,0.5,Short,Water,1,12,10.0,Very Slow,1,2,6,100,90,178,100,203,100,0,1,5,100,100,Plant,100,6,100,1,25,175,49,47,./images/mobs/Swift Poring.gif
23,2450,Thief Poring,Poring,Medium,30,3.4011977149954333,0.86,1,13,16,0.0,0.0,Very Short,Water,1,12,10.0,Slow,1,2,6,100,90,178,100,203,100,0,1,5,100,100,Plant,100,6,100,1,25,175,62,58,./images/mobs/Thief Poring.gif
2,2762,Furious Marin,Marin,Medium,4935,8.504107953893925,1.87,1,126,159,0.14300000000000002,0.48,Short,Water,2,12,10.0,Very Slow,6,32,30,100,80,242,75,246,100,5,37,15,100,75,Plant,100,24,75,10,0,175,49,47,./images/mobs/Furious Marin.gif
3,2845,Drops Ringleader,Drops,Medium,225,5.416100446648864,1.37,1,21,26,0.289,0.667,Short,Fire,1,12,10.0,Very Slow,1,16,6,90,25,178,100,203,100,0,2,2,100,125,Plant,100,8,100,1,150,100,49,47,./images/mobs/Drops Ringleader.gif
9,2756,Metaling Ringleader,Metaling,Small,21500,9.975808214580873,0.67,1,319,409,0.122,0.375,Short,Neutral,1,12,10.0,Slow,30,69,60,100,100,312,70,312,100,17,81,5,100,100,Formless,100,58,100,49,100,100,56,54,./images/mobs/Metaling Ringleader.gif
11,2755,Solid Metaling,Metaling,Small,43000,10.668955394908258,0.67,1,319,409,0.06,0.187,Short,Neutral,1,12,10.0,Slow,30,69,60,100,100,312,70,312,100,17,81,5,100,100,Formless,100,58,100,49,100,100,56,54,./images/mobs/Solid Metaling.gif
13,2769,Swift Magmaring,Magmaring,Small,65395,11.08820108207617,1.47,1,1062,1485,0.116,0.262,Very Short,Fire,2,12,10.0,Slow,33,190,73,80,0,359,75,347,100,47,110,20,100,125,Formless,100,107,75,35,175,100,78,78,./images/mobs/Swift Magmaring.gif
